Ano,Sexo,Total

2024-2,M,806
2024-1,M,759
2023-2,M,743
2023-1,M,728
2022-2,M,688
2022-1,M,659
2021-2,M,633
2021-1,M,584
2020-2,M,546
2020-1,M,514
2016-2,M,485
2017-2,M,482
2017-1,M,478
2019-2,M,477
2012-2,M,473
2018-1,M,473
2018-2,M,465
2015-1,M,462
2013-2,M,462
2012-1,M,460
2015-2,M,459
2019-1,M,459
2013-1,M,458
2016-1,M,456
2008-2,M,453
2008-1,M,445
2009-1,M,441
2014-1,M,439
2011-2,M,438
2014-2,M,437
2009-2,M,434
2011-1,M,429
2010-2,M,415
2010-1,M,411
2007-1,M,396
2006-2,M,384
2007-2,M,370
2006-1,M,358
2005-2,M,330
2005-1,M,295
2004-2,M,257
2004-1,M,229
2003-2,M,198
2003-1,M,182
2002-2,M,162
2002-1,M,156
2001-2,M,132
2024-2,F,131
2001-1,M,126
2024-1,F,106
2023-1,F,101
2023-2,F,100
2022-2,F,94
2022-1,F,86
2021-2,F,81
2021-1,F,69
2020-2,F,63
2020-1,F,58
2018-2,F,58
2019-1,F,57
2014-1,F,57
2013-2,F,57
2013-1,F,56
2015-2,F,54
2015-1,F,54
2014-2,F,53
2012-2,F,53
2012-1,F,53
2011-2,F,53
2018-1,F,52
2019-2,F,52
2011-1,F,51
2017-2,F,51
2009-2,F,50
2010-2,F,49
2016-1,F,48
2010-1,F,48
2017-1,F,47
2009-1,F,46
2016-2,F,45
2007-1,F,40
2008-2,F,39
2006-2,F,36
2007-2,F,36
2008-1,F,35
2006-1,F,34
2005-2,F,29
2005-1,F,28
2004-2,F,27
2004-1,F,23
2003-2,F,22
2002-2,F,19
2003-1,F,18
2001-2,F,16
2002-1,F,15
2001-1,F,14
